line,method,sum,count,average
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:12,Array#any?,2833,290,9.76896551724138
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionpack-4.2.5/lib/action_controller/metal/live.rb:1,Kernel#require,2765,2,1382.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/functions.rb:407,Array#map,2717,180,15.094444444444445
/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/xml/parse_options.rb:61,Module#class_eval,2715,44,61.70454545454545
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:123,Module#class_eval,2640,60,44
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/scss.rb:5,Kernel#require,2618,2,1309
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass.rb:99,Kernel#require,2556,2,1278
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent.rb:26,Kernel#require,2500,2,1250
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/configuration.rb:2,Kernel#require,2488,2,1244
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/environment.rb:3,Kernel#require,2458,2,1229
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:97,Array#any?,2369,222,10.67117117117117
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionpack-4.2.5/lib/action_controller.rb:4,Kernel#require,2344,2,1172
/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim.rb:2,Kernel#require,2279,2,1139.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:144,#<Class:Pry::Command>#matches?,2245,498,4.508032128514056
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/scss.rb:4,Kernel#require,2245,2,1122.5
/Users/brian/github/neo4j-examples/ruby_code_analytics/config/application.rb:18,Kernel#require,2223,2,1111.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script.rb:35,Kernel#require,2220,2,1110
